Time (ms),Sensor Value
6722,56
6822,61
6922,61
7022,67
7122,65
7222,58
7322,60
7422,70
7522,71
7622,80
7722,57
7822,61
7922,54
8022,63
8122,77
8222,88
8322,174
8423,169
8523,194
8623,182
8723,271
8823,230
8923,234
9023,220
9123,226
9223,225
9323,294
9423,244
9523,247
9623,162
9723,177
9823,227
9923,364
10023,305
10123,265
10223,187
10323,290
10423,289
10523,361
10623,363
10723,436
10823,467
10923,365
11023,456
11123,511
11223,454
11323,625
11423,390
11523,476
11623,539
11723,712
11823,599
11923,865
12023,649
12123,569
12223,879
12323,922
12423,763
12523,875
12623,922
12723,787
12823,871
12923,923
13023,845
13123,811
13223,923
13323,922
13423,923
13523,923
13623,923
13724,923
13824,925
13924,924
14024,923
14124,923
14224,923
14324,923
14424,923
14524,923
14624,923
14724,923
14824,924
14924,923
15024,924
15124,923
15224,923
15324,923
15424,923
15524,923
15624,923
15724,923
15824,923
15924,924
16024,925
16124,924
16224,924
16324,924
16424,923
16524,923
16624,924
16724,923
16824,924
16924,923
17024,923
17124,923
17224,923
17324,923
17424,881
17524,797
17624,741
17724,921
17824,746
17924,678
18024,729
18124,703
18224,830
18324,620
18424,666
18524,537
18624,852
18724,572
18824,644
18925,730
19025,677
19125,528
19225,567
19325,602
19425,528
19525,345
19625,440
19725,442
19825,425
19925,527
20025,580
20125,443
20225,422
20325,414
20425,594
20525,398
20625,423
20725,349
20825,363
20925,404
21025,353
21125,449
21225,378
21325,363
21425,328
21525,248
21625,262
21725,281
21825,195
21925,274
22025,246
22125,286
22225,297
22325,280
22425,212
22525,206
22625,235
22725,161
22825,245
22925,227
23025,150
23125,240
23225,184
23325,158
23425,141
23525,163
23625,151
23725,198
23825,184
23925,152
24025,200
24125,177
24226,155
24326,137
24426,195
24526,209
24626,155
24726,177
24826,166
24926,242
25026,190
25126,169
25226,164
25326,188
25426,202
25526,204
25626,199
25726,213
25826,216
25926,186
26026,320
26126,314
26226,312
26326,232
26426,275
26526,237
26626,250
26726,268
26826,211
26926,238
27026,335
27126,395
27226,296
27326,321
27426,321
27526,521
27626,587
27726,545
27826,506
27926,626
28026,545
28126,594
28226,578
28326,798
28426,745
28526,922
28626,922
28726,794
28826,808
28926,832
29026,748
29126,922
29226,923
29326,923
29426,923
29527,923
29627,923
29727,923
29827,923
29927,923
30027,924
30127,924
30227,925
30327,924
30427,924
30527,924
30627,924
30727,923
30827,924
30927,923
31027,923
31127,923
31227,924
31327,922
31427,923
31527,798
31627,552
31727,671
31827,395
31927,554
32027,688
32127,685
32227,706
32327,533
32427,538
32527,685
32627,688
32727,537
32827,450
32927,461
33027,324
33127,299
33227,176
33327,284
33427,293
33527,340
33627,342
33727,406
33827,286
33927,254
34027,272
34127,278
34227,241
34327,248
34427,465
34527,334
34627,258
34728,376
34828,259
34928,319
35028,235
35128,183
35228,224
35328,226
35428,186
35528,189
35628,166
35728,213
35828,152
35928,233
36028,218
36128,146
36228,165
36328,135
36428,197
36528,194
36628,159
36728,177
36828,274
36928,160
37028,159
37128,147
